ticker,date,field,old,new,reason
ABT,2026-07-14,high/low,90.4900/88.6200,90.5000/88.6200,ohlc_order_fix
AIZ,2026-07-14,high/low,281.4050/277.7500,281.4050/277.3700,ohlc_order_fix
ANDV,2018-09-20,high/low,153.5800/148.7500,155.4200/148.7500,ohlc_order_fix
ARES,2026-07-14,high/low,122.0900/119.5500,122.0900/119.2800,ohlc_order_fix
BALL,2026-07-14,high/low,61.7500/60.4500,61.7700/60.4500,ohlc_order_fix
BAX,2026-07-14,high/low,21.9200/21.1600,21.9300/21.1600,ohlc_order_fix
BDX,2026-07-14,high/low,151.2550/148.4600,151.8300/148.4600,ohlc_order_fix
BF-B,2026-07-14,high/low,25.9600/24.9000,26.0350/24.9000,ohlc_order_fix
BG,2026-07-14,high/low,118.4900/116.0200,118.6200/116.0200,ohlc_order_fix
BSX,2026-07-14,high/low,43.3950/42.2800,43.5000/42.2800,ohlc_order_fix
COL,2020-03-24,price,<=min,NaN,nonpositive_price
COL,2020-03-25,price,<=min,NaN,nonpositive_price
COL,2020-04-01,price,<=min,NaN,nonpositive_price
COL,2020-04-02,price,<=min,NaN,nonpositive_price
COL,2020-04-03,price,<=min,NaN,nonpositive_price
DRI,2026-07-14,high/low,197.2150/194.0000,197.8800/194.0000,ohlc_order_fix
ELV,2026-07-14,high/low,431.9980/422.3200,436.2400/422.3200,ohlc_order_fix
EW,2026-07-14,high/low,90.4000/88.2000,90.4800/88.2000,ohlc_order_fix
HAR,2021-11-02,high/low,9960.0000/9580.0000,10500.0000/9580.0000,ohlc_order_fix
HUBB,2021-05-05,high/low,198.6400/196.2100,198.6400/195.9800,ohlc_order_fix
LLY,2026-07-14,high/low,1164.8300/1140.7550,1166.0100/1140.7550,ohlc_order_fix
LUV,2026-07-14,high/low,48.1610/47.1701,48.2300/47.1701,ohlc_order_fix
NVR,2026-07-14,high/low,6454.5200/6307.0000,6475.0000/6307.0000,ohlc_order_fix
PKG,2026-07-14,high/low,227.9000/223.5500,228.2500/223.5500,ohlc_order_fix
RJF,2026-07-14,high/low,168.3250/165.7650,168.3250/165.5900,ohlc_order_fix
SBNY,2024-12-04,price,<=min,NaN,nonpositive_price
SBNY,2025-11-06,price,<=min,NaN,nonpositive_price
STE,2026-07-14,high/low,213.1500/208.6900,214.3200/208.6900,ohlc_order_fix
TKO,2026-07-14,high/low,184.3200/180.3200,184.3200/180.2100,ohlc_order_fix
UA,2021-05-05,high/low,21.8250/21.0000,21.8250/20.8700,ohlc_order_fix
UDR,2026-07-14,high/low,40.4200/39.9150,40.5000/39.9150,ohlc_order_fix
UNP,2026-07-14,high/low,291.4500/288.3100,291.6000/288.3100,ohlc_order_fix
ZBH,2026-07-14,high/low,91.4400/88.5860,91.7100/88.5860,ohlc_order_fix
