ticker,raw_rows,clean_rows,leading_trimmed,halt_masked,gap_filled,ohlc_fixed,nonpos_fixed,n_extreme,n_suspect,orig_first_date,first_real_date,dropped,reason
A,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AA,2516,2516,0,0,0,0,0,2,0,2016-07-11,2016-07-11,False,
AAL,2516,2516,0,0,0,0,0,4,1,2016-07-11,2016-07-11,False,
AAP,2516,2516,0,0,0,0,0,3,0,2016-07-11,2016-07-11,False,
AAPL,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ABBV,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ABNB,1402,1402,0,0,0,0,0,0,0,2020-12-10,2020-12-10,False,
ABT,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
ACGL,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ACN,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ADBE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ADI,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ADM,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
ADP,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ADSK,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AEE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AEP,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AES,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AET,604,604,0,1,1,0,0,0,0,2016-07-11,2016-07-11,False,
AFL,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
AIG,2516,2516,0,0,0,0,0,1,1,2016-07-11,2016-07-11,False,
AIV,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
AIZ,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
AJG,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AKAM,2516,2516,0,0,0,0,0,2,0,2016-07-11,2016-07-11,False,
ALB,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ALGN,2516,2516,0,0,0,0,0,7,0,2016-07-11,2016-07-11,False,
ALK,2516,2516,0,0,0,0,0,4,1,2016-07-11,2016-07-11,False,
ALL,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ALLE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AMAT,2516,2516,0,0,0,0,0,1,1,2016-07-11,2016-07-11,False,
AMCR,2516,1782,734,0,0,0,0,0,0,2016-07-11,2019-06-11,False,
AMD,2516,2516,0,0,0,0,0,3,0,2016-07-11,2016-07-11,False,
AME,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AMG,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AMGN,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AMP,2516,2516,0,0,0,0,0,3,2,2016-07-11,2016-07-11,False,
AMT,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AMTM,451,451,0,0,0,0,0,2,1,2024-09-24,2024-09-24,False,
AMZN,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AN,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ANDV,561,562,0,1,2,1,0,0,0,2016-07-11,2016-07-11,False,
ANET,2516,2516,0,0,0,0,0,3,0,2016-07-11,2016-07-11,False,
AON,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AOS,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
APA,2516,2516,0,0,0,0,0,7,0,2016-07-11,2016-07-11,False,
APC,104,104,0,0,0,0,0,0,0,2026-02-12,2026-02-12,False,
APD,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
APH,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
APO,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
APP,1317,1317,0,0,0,0,0,8,0,2021-04-15,2021-04-15,False,
APTV,2516,2516,0,0,0,0,0,3,1,2016-07-11,2016-07-11,False,
ARE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
ARES,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
ATO,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AVB,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AVGO,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
AVY,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
AWK,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AXON,2516,2516,0,0,0,0,0,5,0,2016-07-11,2016-07-11,False,
AXP,2516,2516,0,0,0,0,0,2,0,2016-07-11,2016-07-11,False,
AYI,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
AZO,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BA,2516,2516,0,0,0,0,0,3,0,2016-07-11,2016-07-11,False,
BAC,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BALL,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
BAX,2516,2516,0,0,0,1,0,1,0,2016-07-11,2016-07-11,False,
BBBY,2516,2516,0,0,0,0,0,27,2,2016-07-11,2016-07-11,False,
BBWI,2516,2516,0,0,0,0,0,5,0,2016-07-11,2016-07-11,False,
BBY,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
BDX,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
BEN,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BF-B,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
BG,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
BHF,2260,2252,8,0,0,0,0,6,1,2017-07-17,2017-07-27,False,
BIIB,2516,2516,0,0,0,0,0,6,0,2016-07-11,2016-07-11,False,
BIO,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
BKNG,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BKR,2516,2516,0,1,1,0,0,2,0,2016-07-11,2016-07-11,False,
BLDR,2516,2516,0,0,0,0,0,3,0,2016-07-11,2016-07-11,False,
BLK,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BMS,734,734,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BMY,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BNY,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BR,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BRK-B,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BRO,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BSX,2516,2516,0,0,0,1,0,0,0,2016-07-11,2016-07-11,False,
BWA,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
BX,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
BXP,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
C,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CAG,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CAH,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CARR,1587,1587,0,0,0,0,0,1,0,2020-03-19,2020-03-19,False,
CASY,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CAT,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CB,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CBOE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CBRE,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CCI,2516,2516,0,1,1,0,0,0,0,2016-07-11,2016-07-11,False,
CCL,2516,2516,0,0,0,0,0,7,1,2016-07-11,2016-07-11,False,
CDNS,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CDW,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CE,2516,2516,0,0,0,0,0,2,0,2016-07-11,2016-07-11,False,
CEG,1124,1124,0,0,0,0,0,3,0,2022-01-19,2022-01-19,False,
CF,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CFG,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CHD,2516,2516,0,1,1,0,0,0,0,2016-07-11,2016-07-11,False,
CHRW,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CHTR,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CI,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CIEN,2516,2516,0,0,0,0,0,5,0,2016-07-11,2016-07-11,False,
CINF,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CL,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CLX,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CMCSA,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CME,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CMG,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CMI,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CMS,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
CNC,2516,2516,0,0,0,0,0,1,0,2016-07-11,2016-07-11,False,
CNP,2516,2516,0,0,0,0,0,0,0,2016-07-11,2016-07-11,False,
