signal,horizon,mean_ic,ic_std,info_ratio,t_stat,n_days
rsi14,1,-0.0039,0.1954,-0.02,-1.0,2501
rsi14,5,-0.0066,0.1779,-0.037,-1.85,2497
rsi14,20,-0.0015,0.1578,-0.01,-0.48,2482
bb_pctb,1,-0.0082,0.1817,-0.045,-2.25,2496
bb_pctb,5,-0.0118,0.1631,-0.072,-3.6,2492
bb_pctb,20,-0.0066,0.144,-0.046,-2.27,2477
ma20_gap,1,-0.0096,0.1961,-0.049,-2.46,2496
ma20_gap,5,-0.0133,0.1789,-0.074,-3.71,2492
ma20_gap,20,-0.0095,0.1602,-0.059,-2.95,2477
mom_20,1,-0.0052,0.1947,-0.027,-1.33,2495
mom_20,5,-0.0084,0.1804,-0.046,-2.31,2491
mom_20,20,-0.0084,0.163,-0.051,-2.55,2476
macd_hist_norm,1,-0.0098,0.1891,-0.052,-2.58,2482
macd_hist_norm,5,-0.0113,0.1774,-0.064,-3.17,2478
macd_hist_norm,20,-0.0082,0.1581,-0.052,-2.58,2463
