ticker,source,rows,first_date,last_date,expected_days,missing_days,coverage,max_internal_gap,n_dupe_dates,n_nan_close,n_nan_ohlcv,n_nonpos_price,n_ohlc_violation,n_zero_volume,n_halt_like,real_row_ratio,first_real_date,real_rows,max_abs_return,n_extreme_return,lifecycle,status,flags
A,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1687,0,active,clean,[]
AAPL,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1533,0,active,clean,[]
ABBV,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1625,0,active,clean,[]
ABNB,yfinance,1402,2020-12-10,2026-07-14,1402,0,1.0,0,0,0,0,0,0,0,0,1.0,2020-12-10,1402,0.1479,0,active,clean,[]
ACGL,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1688,0,active,clean,[]
ACN,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1797,0,active,clean,[]
ADBE,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1772,0,active,clean,[]
ADI,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1839,0,active,clean,[]
ADP,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1525,0,active,clean,[]
ADSK,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.162,0,active,clean,[]
AEE,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.178,0,active,clean,[]
AEP,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1168,0,active,clean,[]
AES,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1978,0,active,clean,[]
AJG,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1524,0,active,clean,[]
ALB,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1991,0,active,clean,[]
ALL,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1409,0,active,clean,[]
ALLE,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1261,0,active,clean,[]
AME,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1672,0,active,clean,[]
AMG,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1808,0,active,clean,[]
AMGN,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1182,0,active,clean,[]
AMT,yfinance,2516,2016-07-11,2026-07-14,2516,0,1.0,0,0,0,0,0,0,0,0,1.0,2016-07-11,2516,0.1516,0,active,clean,[]
