ticker,status
A,current
AA,removed
AAL,removed
AAP,removed
AAPL,current
ABBV,current
ABMD,removed
ABNB,current
ABT,current
ACGL,current
ACN,current
ADBE,current
ADI,current
ADM,current
ADP,current
ADS,removed
ADSK,current
AEE,current
AEP,current
AES,current
AET,removed
AFL,current
AGN,removed
AIG,current
AIV,removed
AIZ,current
AJG,current
AKAM,current
ALB,current
ALGN,current
ALK,removed
ALL,current
ALLE,current
ALXN,removed
AMAT,current
AMCR,current
AMD,current
AME,current
AMG,removed
AMGN,current
AMP,current
AMT,current
AMTM,removed
AMZN,current
AN,removed
ANDV,removed
ANET,current
ANSS,removed
AON,current
AOS,current
APA,current
APC,removed
APD,current
APH,current
APO,current
APP,current
APTV,current
ARE,current
ARES,current
ARNC,removed
ATO,current
ATVI,removed
AVB,current
AVGO,current
AVY,current
AWK,current
AXON,current
AXP,current
AYI,removed
AZO,current
BA,current
BAC,current
BALL,current
BAX,current
BBBY,removed
BBWI,removed
BBY,current
BCR,removed
BDX,current
BEN,current
BF-B,current
BG,current
BHF,removed
BHI,removed
BIIB,current
BIO,removed
BKNG,current
BKR,current
BLDR,current
BLK,current
BMS,removed
BMY,current
BNY,current
BR,current
BRK-B,current
BRO,current
BSX,current
BWA,removed
BX,current
BXP,current
C,current
CA,removed
CAG,removed
CAH,current
CARR,current
CASY,current
CAT,current
CB,current
CBOE,current
CBRE,current
CCI,current
CCL,current
CDAY,removed
CDNS,current
CDW,current
CE,removed
CEG,current
CELG,removed
CERN,removed
CF,current
CFG,current
CHD,current
CHK,removed
CHRW,current
CHTR,current
CI,current
CIEN,current
CINF,current
CL,current
CLX,current
CMA,removed
CMCSA,current
CME,current
CMG,current
CMI,current
CMS,current
CNC,current
CNP,current
COF,current
COHR,current
COIN,current
COL,removed
COO,current
COP,current
COR,current
COST,current
COTY,removed
CPAY,current
CPB,removed
CPRI,removed
CPRT,current
CPT,current
CRH,current
CRL,current
CRM,current
CRWD,current
CSCO,current
CSGP,current
CSRA,removed
CSX,current
CTAS,current
CTLT,removed
CTRA,removed
CTSH,current
CTVA,current
CTXS,removed
CVNA,current
CVS,current
CVX,current
CXO,removed
CZR,removed
D,current
DAL,current
DASH,current
DAY,removed
DD,current
DDOG,current
DE,current
DECK,current
DELL,current
DFS,removed
DG,current
DGX,current
DHI,current
DHR,current
DIS,current
DISCA,removed
DISCK,removed
DISH,removed
DLR,current
DLTR,current
DNB,removed
DO,removed
DOC,current
DOV,current
DOW,current
DPS,removed
DPZ,current
DRE,removed
DRI,current
DTE,current
DUK,current
DVA,current
DVN,current
DWDP,removed
DXC,removed
DXCM,current
EA,current
EBAY,current
ECHO,current
ECL,current
ED,current
EFX,current
EG,current
EIX,current
EL,current
ELV,current
EMC,removed
EME,current
EMN,removed
EMR,current
ENDP,removed
ENPH,removed
EOG,current
EPAM,removed
EQIX,current
EQR,current
EQT,current
ERIE,current
ES,current
ESRX,removed
ESS,current
ETFC,removed
ETN,current
ETR,current
ETSY,removed
EVHC,removed
EVRG,current
EW,current
EXC,current
EXE,current
EXPD,current
EXPE,current
EXR,current
F,current
FANG,current
FAST,current
FBHS,removed
FCX,current
FDS,current
FDX,current
FDXF,current
FE,current
FFIV,current
FICO,current
FIS,current
FISV,current
FITB,current
FIX,current
FL,removed
FLEX,current
FLIR,removed
FLR,removed
FLS,removed
FLT,removed
FMC,removed
FOX,current
FOXA,current
FRC,removed
FRT,current
FSLR,current
FTI,removed
FTNT,current
FTR,removed
FTV,current
GD,current
GDDY,current
GE,current
GEHC,current
GEN,current
GEV,current
GGP,removed
GILD,current
GIS,current
GL,current
GLW,current
GM,current
GNRC,current
GOOG,current
GOOGL,current
GPC,current
GPN,current
GPS,removed
GRMN,current
GS,current
GT,removed
GWW,current
HAL,current
HAR,removed
HAS,current
HBAN,current
HBI,removed
HCA,current
HD,current
HES,removed
HFC,removed
HIG,current
HII,current
HLT,current
HOG,removed
HOLX,removed
HON,current
HONA,current
HOOD,current
HOT,removed
HP,removed
HPE,current
HPQ,current
HRB,removed
HRL,current
HSIC,current
HST,current
HSY,current
HUBB,current
HUM,current
HWM,current
IBKR,current
IBM,current
ICE,current
IDXX,current
IEX,current
IFF,current
ILMN,removed
INCY,current
INFO,removed
INTC,current
INTU,current
INVH,current
IP,current
IPG,removed
IPGP,removed
IQV,current
IR,current
IRM,current
ISRG,current
IT,current
ITW,current
IVZ,current
J,current
JBHT,current
JBL,current
JCI,current
JEF,removed
JKHY,current
JNJ,current
JNPR,removed
JPM,current
JWN,removed
K,removed
KDP,current
KEY,current
KEYS,current
KHC,current
KIM,current
KKR,current
KLAC,current
KMB,current
KMI,current
KMX,removed
KO,current
KR,current
KSS,removed
KSU,removed
KVUE,current
L,current
LDOS,current
LEG,removed
LEN,current
LH,current
LHX,current
LII,current
LIN,current
LITE,current
LKQ,removed
LLL,removed
LLTC,removed
LLY,current
LM,removed
LMT,current
LNC,removed
LNT,current
LOW,current
LRCX,current
LULU,current
LUMN,removed
LUV,current
LVLT,removed
LVS,current
LW,removed
LYB,current
LYV,current
M,removed
MA,current
MAA,current
MAC,removed
MAR,current
MAS,current
MAT,removed
MBC,removed
MCD,current
MCHP,current
MCK,current
MCO,current
MDLZ,current
MDT,current
MET,current
META,current
MGM,current
MHK,removed
MJN,removed
MKC,current
MKTX,removed
MLM,current
MMM,current
MNK,removed
MNST,current
MO,current
MOH,removed
MON,removed
MOS,current
MPC,current
MPWR,current
MRK,current
MRNA,current
MRO,removed
MRSH,current
MRVL,current
MS,current
MSCI,current
MSFT,current
MSI,current
MTB,current
MTCH,removed
MTD,current
MU,current
MUR,removed
MXIM,removed
NAVI,removed
NBL,removed
NCLH,current
NDAQ,current
NDSN,current
NEE,current
NEM,current
NFLX,current
NFX,removed
NI,current
NKE,current
NKTR,removed
NLSN,removed
NOC,current
NOV,removed
NOW,current
NRG,current
NSC,current
NTAP,current
NTRS,current
NUE,current
NVDA,current
NVR,current
NWL,removed
NWS,current
NWSA,current
NXPI,current
O,current
ODFL,current
OGN,removed
OI,removed
OKE,current
OMC,current
ON,current
ORCL,current
ORLY,current
OTIS,current
OXY,current
PANW,current
PAYC,removed
PAYX,current
PBCT,removed
PBI,removed
PCAR,current
PCG,current
PDCO,removed
PEG,current
PENN,removed
PEP,current
PFE,current
PFG,current
PG,current
PGR,current
PH,current
PHM,current
PKG,current
PLD,current
PLTR,current
PM,current
PNC,current
PNR,current
PNW,current
PODD,current
POOL,removed
PPG,current
PPL,current
PRGO,removed
PRU,current
PSA,current
PSKY,current
PSX,current
PTC,current
PVH,removed
PWR,current
PXD,removed
PYPL,current
Q,current
QCOM,current
QRVO,removed
R,removed
RAI,removed
RCL,current
RE,removed
REG,current
REGN,current
RF,current
RHI,removed
RHT,removed
RIG,removed
RJF,current
RL,current
RMD,current
ROK,current
ROL,current
ROP,current
ROST,current
RRC,removed
RSG,current
RTN,removed
RTX,current
RVTY,current
SATS,removed
SBAC,current
SBNY,removed
SBUX,current
SCG,removed
SCHW,current
SE,removed
SEDG,removed
SEE,removed
SHW,current
SIG,removed
SIVB,removed
SJM,current
SLB,current
SLG,removed
SMCI,current
SNA,current
SNDK,current
SNI,removed
SNPS,current
SO,current
SOLS,removed
SOLV,current
SPG,current
SPGI,current
SPLS,removed
SRCL,removed
SRE,current
STE,current
STI,removed
STJ,removed
STLD,current
STT,current
STX,current
STZ,current
SW,current
SWK,current
SWKS,current
SWN,removed
SYF,current
SYK,current
SYY,current
T,current
TAP,current
TDC,removed
TDG,current
TDY,current
TECH,current
TEL,current
TER,current
TFC,current
TFX,removed
TGNA,removed
TGT,current
TIF,removed
TJX,current
TKO,current
TMO,current
TMUS,current
TPL,current
TPR,current
TRGP,current
TRIP,removed
TRMB,current
TROW,current
TRV,current
TSCO,current
TSLA,current
TSN,current
TSS,removed
TT,current
TTD,current
TTWO,current
TWTR,removed
TWX,removed
TXN,current
TXT,current
TYC,removed
TYL,current
UA,removed
UAA,removed
UAL,current
UBER,current
UDR,current
UHS,current
ULTA,current
UNH,current
UNM,removed
UNP,current
UPS,current
URBN,removed
URI,current
USB,current
V,current
VAR,removed
VEEV,current
VFC,removed
VIAB,removed
VICI,current
VLO,current
VLTO,current
VMC,current
VNO,removed
VNT,removed
VRSK,current
VRSN,current
VRT,current
VRTX,current
VST,current
VTR,current
VTRS,current
VZ,current
WAB,current
WAT,current
WBA,removed
WBD,current
WCG,removed
WDAY,current
WDC,current
WEC,current
WELL,current
WFC,current
WFM,removed
WHR,removed
WLTW,removed
WM,current
WMB,current
WMT,current
WRB,current
WSM,current
WST,current
WTW,current
WU,removed
WY,current
WYN,removed
WYNN,current
XEC,removed
XEL,current
XL,removed
XLNX,removed
XOM,current
XRAY,removed
XRX,removed
XYL,current
XYZ,current
YHOO,removed
YUM,current
ZBH,current
ZBRA,current
ZION,removed
ZTS,current
